WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1419,1426,199,211,True,21.0,White,1-0
1414,1400,560,522,True,45.0,White,1-0
1422,1413,425,419,True,29.0,White,1-0
1407,1429,-468,-486,True,21.0,White,0-1
1391,1348,557,195,True,37.0,White,1-0
1403,1421,-551,-614,True,39.0,White,0-1
1365,1373,510,-506,True,39.0,White,1-0
1394,1458,158,97,True,21.0,White,1-0
1390,1423,200,-133,True,29.0,White,0-1
1412,1643,-20,-99997,True,35.0,White,0-1
1414,1498,99990,99991,True,59.0,White,1-0
1373,1500,297,283,True,61.0,White,0-1
1381,1516,-540,-543,False,57.0,White,0-1
1352,1717,-191,-234,True,43.0,White,0-1
1344,1323,-310,-519,False,41.0,White,0-1
1355,1390,7,-7,True,15.0,White,0-1
1356,1460,250,171,True,39.0,White,0-1
1343,1536,267,-608,True,51.0,White,0-1
1241,1494,560,546,True,75.0,White,0-1
1233,1253,-331,-324,True,53.0,White,0-1
1282,1304,134,170,True,19.0,White,0-1
1386,1784,-26,-164,True,63.0,White,0-1
1428,1388,99993,-615,False,33.0,White,0-1
1418,1232,409,415,True,23.0,White,1-0
1430,1438,723,600,True,51.0,White,1-0
1346,894,879,617,True,35.0,White,1-0
1361,1030,217,210,True,9.0,White,1-0
1407,1616,-368,-596,False,15.0,White,0-1
1400,1639,-321,-421,True,51.0,White,0-1
1418,1359,0,-25,False,19.0,White,1-0
1436,1261,-464,-466,True,39.0,White,0-1
1394,1585,-83,-568,True,17.0,White,0-1
1387,1408,570,561,True,49.0,White,1-0
1386,1649,453,479,True,33.0,White,1-0
1401,1489,42,-53,True,29.0,White,0-1
1421,1363,149,132,True,13.0,White,1-0
1376,1569,170,155,False,13.0,White,1-0
1358,1381,-338,-328,False,49.0,White,1-0
1374,1424,53,-33,False,27.0,White,0-1
1398,1436,-232,-916,False,45.0,White,0-1
1416,1243,210,141,True,15.0,White,0-1
1410,1490,49,13,False,27.0,White,0-1
1417,1420,407,426,True,57.0,White,1-0
1384,1448,210,141,True,15.0,White,0-1
1323,1244,190,54,True,11.0,White,1/2-1/2
1266,1252,552,514,True,21.0,White,1-0
1253,1394,95,-76,True,11.0,White,0-1
1268,1300,11,7,True,21.0,White,1-0
1285,1308,-1,-630,False,67.0,White,0-1
1273,1390,0,0,True,69.0,White,0-1
1275,1470,-335,-350,True,47.0,White,1-0
1283,1567,-528,-554,True,33.0,White,0-1
1275,1272,605,625,True,61.0,White,1-0
1266,1545,617,633,True,57.0,White,1-0
1178,1500,634,532,False,31.0,White,1-0
1328,1500,604,468,True,31.0,White,1-0
1206,1500,829,826,True,33.0,White,1-0
1206,1500,600,620,False,29.0,White,1-0
1315,1562,-319,-333,True,55.0,White,0-1
1297,1561,-95,-39,True,35.0,White,0-1
1238,1575,-781,-982,False,27.0,White,0-1
1241,1326,-493,-541,True,25.0,White,0-1
1275,1318,304,339,True,35.0,White,1-0
1282,1875,-457,-697,False,31.0,White,0-1
1294,1290,115,205,True,65.0,White,0-1
1278,1426,-56,-61,False,9.0,White,1-0
1344,1255,524,380,True,41.0,White,1-0
1360,1201,-175,-419,True,49.0,White,0-1
