WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1387,1301,86,96,True,24.0,Black,0-1
1326,1349,-81,-106,True,42.0,Black,0-1
1129,1345,-32,-360,True,36.0,Black,0-1
1363,1362,254,294,True,32.0,Black,0-1
1350,1354,177,171,True,22.0,Black,0-1
1259,1325,-413,-423,True,34.0,Black,0-1
1140,1324,606,594,True,16.0,Black,0-1
1228,1320,747,748,True,34.0,Black,0-1
1636,1323,5,-188,False,16.0,Black,1-0
1282,1304,738,706,True,22.0,Black,0-1
1278,1302,230,192,True,36.0,Black,1-0
1296,1289,-32,-34,True,58.0,Black,0-1
1244,1262,-107,-92,True,14.0,Black,0-1
1149,1265,237,233,True,32.0,Black,0-1
1269,1251,481,479,True,24.0,Black,1-0
1247,1260,140,-396,False,62.0,Black,1-0
1247,1275,-112,-160,True,54.0,Black,1-0
1329,1320,-21,-17,True,30.0,Black,0-1
1361,1361,-24,-36,True,24.0,Black,0-1
1351,1374,434,-230,True,26.0,Black,0-1
1355,1363,263,273,True,40.0,Black,1-0
847,1379,608,624,True,58.0,Black,0-1
1500,1491,-132,-115,False,20.0,Black,1-0
1501,1438,1537,1463,True,70.0,Black,0-1
1541,1444,-139,-136,True,42.0,Black,1-0
1426,1437,99999,3548,True,82.0,Black,0-1
1394,1429,437,443,True,30.0,Black,1-0
1393,1401,645,644,True,42.0,Black,0-1
1059,1402,571,564,True,28.0,Black,0-1
1472,1398,640,570,False,62.0,Black,0-1
1471,1403,46,49,True,50.0,Black,1-0
1305,1368,496,489,True,30.0,Black,0-1
1356,1368,627,494,True,42.0,Black,0-1
1303,1362,1736,716,True,56.0,Black,0-1
1338,1373,-63,-742,False,40.0,Black,1-0
1464,1362,557,571,True,50.0,Black,0-1
1597,1351,678,655,True,26.0,Black,1-0
1373,1337,81,31,True,54.0,Black,0-1
1745,1330,4,25,True,48.0,Black,1-0
1428,1357,439,431,True,14.0,Black,1-0
1315,1375,916,949,True,66.0,Black,1-0
1403,1424,-330,-344,False,38.0,Black,1-0
1378,1416,99998,600,False,62.0,Black,0-1
1362,1400,335,262,True,38.0,Black,0-1
1533,1415,327,146,True,80.0,Black,1-0
1499,1368,552,545,True,32.0,Black,0-1
1497,1347,18,-7,True,6.0,Black,1-0
1516,1367,-473,-494,True,52.0,Black,1-0
1638,1388,3878,330,True,66.0,Black,0-1
1389,1406,428,-596,False,36.0,Black,1-0
1574,1250,-65,-55,True,32.0,Black,1-0
1238,1412,17,-2,True,6.0,Black,0-1
1379,1402,1527,1483,True,68.0,Black,0-1
1487,1429,0,-457,True,36.0,Black,1-0
1538,1421,-76,-85,True,40.0,Black,0-1
1580,1386,14,8,True,10.0,Black,1-0
1494,1396,553,585,True,54.0,Black,0-1
1564,1408,-47,-32,True,18.0,Black,1-0
1388,1419,39,22,True,18.0,Black,1-0
1502,1417,42,61,True,8.0,Black,0-1
1418,1377,-175,-189,True,12.0,Black,1-0
1503,1419,-692,-748,True,92.0,Black,1-0
1498,1408,-657,-725,True,56.0,Black,1-0
1422,1427,5,-71,True,46.0,Black,1-0
1586,1412,19,7,True,46.0,Black,0-1
1368,1386,-284,-270,True,58.0,Black,1-0
1331,1322,-40,-40,False,18.0,Black,1/2-1/2
1386,1312,-151,-109,False,24.0,Black,1-0
1282,1276,-237,-256,True,38.0,Black,0-1
1497,1256,-462,-478,True,14.0,Black,0-1
1353,1280,351,333,True,50.0,Black,1-0
1438,1275,220,228,True,52.0,Black,1-0
